Question,Answer
j'aimerais entendre une blague,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
je voudrais avoir une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
je voudrais écouter des blagues,Que fait un geek quand rien ne va plus ? Il se console !
je veux avoir une blague,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
je veux entendre une histoire drôle,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
je voudrais entendre une histoire drôle,Que fait un geek quand rien ne va plus ? Il se console !
j'aimerais entendre une histoire drôle,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
je veux écouter des trucs marrants,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
je voudrais écouter des trucs marrants,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
j'aimerais des blagues s'il te plaît,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
je veux écouter des blagues,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
est-ce que tu pourrais faire des blagues,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
je veux des blagues s'il te plaît,Que fait un geek quand rien ne va plus ? Il se console !
tu pourrais me raconter une blague,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
tu pourrais me donner une blague,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
tu pourrais faire des blagues,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
tu pourrais dire des blagues,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
tu pourrais me faire une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
tu pourrais donner des blagues,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
est-ce que tu pourrais donner une blague,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
est-ce que tu pourrais dire des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
est-ce que tu pourrais raconter des blagues,Que fait un geek quand rien ne va plus ? Il se console !
est-ce que tu pourrais donner des blagues,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
tu pourrais me faire des blagues,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
tu pourrais me dire des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
tu pourrais me raconter des blagues,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
tu pourrais raconter des blagues,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
tu pourrais faire une blague,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
j'aimerais rire,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
je veux une blague s'il vous plaît,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
je voudrais une blague s'il vous plaît,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
j'aimerais une blague s'il vous plaît,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
je veux des blagues s'il vous plaît,Que fait un geek quand rien ne va plus ? Il se console !
tu pourrais me dire une blague,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
j'aimerais des blagues s'il vous plaît,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
je voudrais des blagues s'il te plaît,Que fait un geek quand rien ne va plus ? Il se console !
tu pourrais dire une blague,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
tu pourrais raconter une blague,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
tu pourrais donner une blague,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
est-ce que tu pourrais faire une blague,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
est-ce que tu pourrais dire une blague,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
est-ce que tu pourrais raconter une blague,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
je voudrais des blagues s'il vous plaît,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
j'aimerais bien que tu fasses des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
raconte-moi une vanne,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
fais-moi une vanne,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
balance une vanne,Que fait un geek quand rien ne va plus ? Il se console !
donne une vanne,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
dis une vanne,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
raconte une vanne,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
j'aimerais que tu dises des blagues,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
je voudrais que tu dises des blagues,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
je veux que tu dises des blagues,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
j'aimerais que tu me dises des blagues,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
je voudrais que tu me dises des blagues,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
je veux que tu me dises des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
j'aimerais que tu me fasses des blagues,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
j'aimerais que tu fasses des blagues,Que fait un geek quand rien ne va plus ? Il se console !
je voudrais que tu dises une blague,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
j'aimerais que tu dises une blague,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
je veux des blagues,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
je voudrais des blagues,Que fait un geek quand rien ne va plus ? Il se console !
j'aimerais des blagues,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
je voudrais que tu me fasses des blagues,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
je voudrais que tu fasses des blagues,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
je veux que tu me fasses des blagues,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
je veux bien des blagues,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
j'aimerais bien des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
je veux bien que tu fasses des blagues,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
je voudrais bien que tu fasses des blagues,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
je veux que tu fasses des blagues,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
dis-moi une vanne,"Le 1er avril 2014, France Inter annonce que la mairie de Paris a décidé de vendre la tour Eiffel au Qatar pour des raisons budgétaires."
tu peux me faire marrer,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
tu peux me faire me marrer,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
tu peux me faire me taper des barres,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
tu peux me faire rigoler,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
fais-moi taper des barres,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
peux-tu me faire rire,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
fais-moi rigoler,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
peux-tu me faire me marrer,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
peux-tu me faire rigoler,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
peux-tu me faire taper des barres,Quel est le comble pour un mathématicien ? Se faire voler sa moitié par un tiers dans un car.
je veux rire,"Le 1er avril 2014, le Guardian annonce que les Ecossais ont décidé de rouler à droite, afin de démontrer leur indépendance par rapport à l'Angleterre."
je voudrais rire,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
tu peux me faire taper des barres,Avec quoi ramasse-t-on la papaye ? Avec une foufourche.
dis-moi des vannes,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
raconte des vannes,"Un vrai geek, c’est celui qui croit que dans 1 km, il y a 1 024 mètres."
dis des vannes,"En 1972, le ministre de la santé annonce à la télévision qu'il est désormais interdit de fumer dans les lieux publics. Ce poisson d'avril deviendra réalité 35 ans plus tard."
donne des vannes,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
balance des vannes,"Un coq rentre au poulailler avec un œuf d’autruche : 'Mesdames, je ne voudrais pas vous vexer mais regardez ce que produit la concurrence'"
raconte-moi des vannes,Je dois vous avouer que rien ne me vient spontanément à l'esprit.
donne-moi une vanne,2 geeks discutent le 2 janvier. 'Quelle est ta résolution cette année ?' '1280 x 768'.
balance-moi des vannes,Que fait un geek quand rien ne va plus ? Il se console !
